title,url,vendor,topic,sockets,contains
4th Gen AMD EPYC Processor Architecture - Whitepaper (70351),https://docs.amd.com/v/u/en-US/221704010-B_en_4th-Gen-AMD-EPYC-Processor-Architecture-White-Paper_pdf,AMD,arch,1P/2P,Public 4th Gen EPYC (9004/Genoa) architecture white paper; Document ID 70351 (2022-11-02).
4th Gen AMD EPYC Processor Architecture white paper,https://www.amd.com/content/dam/amd/en/documents/products/epyc/4th-gen-epyc-processor-architecture-white-paper.pdf,AMD,arch,1P/2P,"Public Zen 4 / Zen 4c MCM architecture paper: I/O die, 2P design choices, Infinity Fabric, PCIe Gen5; not a socket pin map."
5th Gen AMD EPYC architecture white paper (Megware mirror PDF),https://www.megware.com/fileadmin/user_upload/LandingPage%20AMD/5th-gen-amd-epyc-white-paper.pdf,AMD,arch,1P/2P,"Opened PDF mirror of 5th Gen architecture paper: Zen 5/5c, IOD, xGMI vs PCIe lane trade (3 vs 4 links → 160 vs 128 system lanes)."
5th Gen AMD EPYC Processor Architecture (70353),https://docs.amd.com/v/u/en-US/5th-gen-amd-epyc-processor-architecture-white-paper,AMD,arch,1P/2P,Public 5th Gen EPYC (9005/Turin) architecture white paper; Document ID 70353 Rev B (2025-03-17).
"AMD EPYC 7002 Series Processors Datasheet (Feb 2020, BVM mirror)",https://www.bvm.co.uk/wp-content/uploads/2020/03/AMD-EPYC-7002-Series-Datasheet.pdf,AMD,arch,1P/2P,"Opened 2-page AMD datasheet PDF: Infinity Architecture, 7nm hybrid multi-die, PCIe Gen4, SKU table with 8ch DDR4-3200, 128 PCIe Gen4, 2P/1P vs 1P-only P-SKUs. Official amd.com 7002 datasheet path hub-redirects, not a PDF."
AMD EPYC 7003 Series product datasheet (SKU table),https://www.amd.com/content/dam/amd/en/documents/epyc-business-docs/datasheets/amd-epyc-7003-series-product-datasheet.pdf,AMD,arch,1P/2P,"curl application/pdf: public 7003 SKU table including 3D V-Cache and F-SKU; 8ch DDR4-3200, 128 PCIe Gen4, 1P/2P."
AMD EPYC 8004 Processor Architecture Overview (58268),https://docs.amd.com/v/u/en-US/58268_amd-epyc-8004-tg-architecture-overview,AMD,arch,1P,"SP6/800x 1P (Siena/dense), not SP5 2P. Architecture overview for EPYC 8004 (Siena); Document ID 58268 Rev 1.1 (2024-05-07)."
AMD EPYC 8004 Series processors datasheet (SKU table),https://www.amd.com/content/dam/amd/en/documents/products/epyc/amd-epyc-8004-series-processors-datasheet.pdf,AMD,arch,1P,"curl application/pdf: public 8004/Siena SKU table; 8–64 Zen 4c cores, 6ch DDR5, 96 PCIe Gen5, compact 1P/SP6. Not a 9004/9005 competitive sheet duplicate."
AMD EPYC 8005 Processor Architecture Overview (72128),https://docs.amd.com/v/u/en-US/72128-amd-epyc-8005-processor-architecture-overview,AMD,arch,1P,"SP6/800x 1P (Siena/dense), not SP5 2P. Architecture overview for EPYC 8005; Document ID 72128 Rev 1.0 English (2026-05-19)."
AMD EPYC 9004 Series Memory Population Recommendations (70593),https://docs.amd.com/v/u/en-US/amd-epyc-9004-ug-memory-population-recommendations,AMD,arch,1P/2P,Memory population recommendations for EPYC 9004; Document ID 70593 Rev 1.1 (2023-06-22).
AMD EPYC 9004 Series processors data sheet (SKU table),https://www.amd.com/content/dam/amd/en/documents/products/epyc/epyc-9004-series-processors-data-sheet.pdf,AMD,arch,1P/2P,"Public 9004 SKU table: cores, TDP, L3, 12ch DDR5-4800, 128/160 PCIe lanes, 1P vs 2P OPNs (P suffix = 1P)."
AMD EPYC 9004 Series Processors Memory and CXL Advances (70352),https://docs.amd.com/v/u/en-US/231963000-A_en_AMD-EPYC-9004-Series-Processors-Memory-and-CXL-Advances-White-Paper_pdf,AMD,arch,1P/2P,9004 memory subsystem and CXL advances white paper; Document ID 70352 (2023-03-16).
AMD EPYC 9004 Series product page,https://www.amd.com/en/products/processors/server/epyc/9004-series.html,AMD,arch,1P/2P,Official 9004 family landing; links to SKUs. Not a design guide.
AMD EPYC 9005 architecture overview 58462 (SSTC mirror PDF),https://www.sstc.co.jp/products/AMD/58462_amd-epyc-9005-tg-architecture-overview.pdf,AMD,arch,1P/2P,"Opened PDF: 9005 Family 1Ah, SP5, 4× xGMI up to 32 Gbps, 3 vs 4 G-links, NPS, 2P identical-OPN rule. Notes some NUMA/memory PDFs still login-gated."
AMD EPYC 9005 Memory Population Recommendations Guide (58463),https://docs.amd.com/v/u/en-US/58463_amd-epyc-9005-ug-memory-population-recommendations,AMD,arch,1P/2P,Memory population recommendations for EPYC 9005; Document ID 58463 Rev 1.0 (2024-10-10).
AMD EPYC 9005 Processor Architecture Overview (58462),https://docs.amd.com/v/u/en-US/58462_amd-epyc-9005-tg-architecture-overview,AMD,arch,1P/2P,Architecture overview for EPYC 9005 (Turin); Document ID 58462 Rev 1.0 (2025-04-23).
AMD EPYC 9005 Series processor datasheet (SKU table),https://www.amd.com/content/dam/amd/en/documents/epyc-business-docs/datasheets/amd-epyc-9005-series-processor-datasheet.pdf,AMD,arch,1P/2P,"Public 9005 SKU table: Zen 5/5c, up to 192 cores, DDR5-6400, 160 lanes in 2P, 2P/1P column per OPN."
AMD EPYC 9005 Series product page,https://www.amd.com/en/products/processors/server/epyc/9005-series.html,AMD,arch,1P/2P,Official 9005 family landing; links to SKUs. Not a design guide.
AMD Family 1Ah Models 00h–0Fh and Models 10h–1Fh ACPI v6.5 Porting Guide (PUB) (58088),https://docs.amd.com/v/u/en-US/58088_0.90_PUB,AMD,arch,1P/2P,"Public Turin/Zen5 ACPI v6.5 porting guide for Family 1Ah Models 00h-0Fh and 10h-1Fh; Document ID 58088 Rev 0.90 PUB English (2024-11-14). Firmware/ACPI, not SP5 TDG/pin map."
AMD I/O Virtualization Technology (IOMMU) Specification (PUB) (48882),https://docs.amd.com/v/u/en-US/48882_3.11_IOMMU_PUB,AMD,arch,1P/2P,"Public IOMMU arch spec PUB 48882 Rev 3.11 (Apr 2026); khub isSecure false; content API application/pdf 7.7MB / 313 pages. DMA translation, PPR log, interrupt remap, vIOMMU. Official dam 48882_IOMMU.pdf is 404; hub content URL works. Not a socket pin map; not login-gated NUMA."
AMD Infinity Fabric Link User Guide (UG-56978),https://docs.amd.com/v/u/en-US/AMD_Infinity_Fabric_Link_User_Guide_56978,AMD,arch,2P,Infinity Fabric Link user guide; Document ID UG-56978 Rev 1.0 English (2025-09-30).
AMD Infinity Guard and Zero Trust Architecture,https://docs.amd.com/v/u/en-US/amd-infinity-guard-and-zero-trust-architecture,AMD,arch,1P/2P,Infinity Guard / zero-trust architecture document; Document ID 70641 (2025-08-20).
"AMD Secure Processor Table (ASPT) Specification, Revision 1 (PUB) (58028)",https://docs.amd.com/v/u/en-US/58028_1.00_ASPTv1_PUB,AMD,arch,1P/2P,Public ASPT ACPI table spec Rev 1; Document ID 58028 Rev 1.00 PUB English (2023-02-16). Hub content API returned application/pdf without login.
"AMD Secure Processor Table (ASPT) Specification, Revision 2 (PUB) (58193)",https://docs.amd.com/v/u/en-US/58193_1.01_ASPT2_PUB,AMD,arch,1P/2P,Public ASPT ACPI table spec Rev 2; Document ID 58193 Rev 1.01 PUB English (2025-12-12). Hub content API returned application/pdf without login.
AMD Server PQOS White Paper for AMD EPYC 9004 and 9005 Series Processors (69127),https://docs.amd.com/v/u/en-US/69127_1.00_PQOSWP,AMD,arch,1P/2P,"Public Platform QoS white paper for Genoa/Turin: L3 CMT/CAT, MBA, SMBA for CXL/slow memory; Document ID 69127 Rev 1.00 English (2025-11-26); isSecure false."
AMD SEV-SNP: Strengthening VM Isolation with Integrity Protection and More (70366),https://docs.amd.com/v/u/en-US/SEV-SNP-strengthening-vm-isolation-with-integrity-protection-and-more,AMD,arch,1P/2P,SEV-SNP white paper on VM isolation/integrity; Document ID 70366 (2020-01-01).
AMD SEV-TIO: Trusted I/O for Secure Encrypted Virtualization (70367),https://docs.amd.com/v/u/en-US/sev-tio-whitepaper,AMD,arch,1P/2P,Opened hub; khub content application/pdf 295 KB / 15 pages. SEV Trusted I/O white paper Document ID 70367 (Mar 2023). Device assignment / trusted DMA path for EPYC SNP; 703xx leftover.
AMD64 Architecture Programmer's Manual Volume 1: Application Programming (PUB) (24592),https://docs.amd.com/v/u/en-US/24592_3.25_APM_Vol1,AMD,arch,1P/2P,Public APM Vol 1; Document ID 24592 Rev 3.25 English (2026-07-30); isSecure false. Application-programming ISA for AMD64 including EPYC.
AMD64 Architecture Programmer's Manual Volume 2: System Programming (PUB) (24593),https://docs.amd.com/v/u/en-US/24593_3.45_APM_Vol2,AMD,arch,1P/2P,"Public APM Vol 2; Document ID 24593 Rev 3.45 English (2026-07-30); isSecure false. System programming, paging, virtualization, SME/SEV-related architectural chapters."
AMD64 Architecture Programmer's Manual Volume 3: General Purpose and System Programming Instructions (PUB) (24594),https://docs.amd.com/v/u/en-US/24594_3.38_APM_Vol3,AMD,arch,1P/2P,Public APM Vol 3; Document ID 24594 Rev 3.38 English (2026-07-30); isSecure false. General-purpose and system instruction encodings.
AMD64 Architecture Programmer's Manual Volume 5: 64-Bit Media and x87 Floating Point Instructions (PUB) (26569),https://docs.amd.com/v/u/en-US/26569_3.16,AMD,arch,1P/2P,Public APM Vol 5; Document ID 26569 Rev 3.16 English (2021-11-22); isSecure false. MMX/x87 instruction volume.
"AMD64 Architecture Programmer’s Manual Volume 4: 128-Bit, 256-Bit, and 512-Bit Media Instructions (PUB) (26568)",https://docs.amd.com/v/u/en-US/26568_3.27_APM_Vol4,AMD,arch,1P/2P,Public APM Vol 4; Document ID 26568 Rev 3.27 English (2026-07-30); isSecure false. SIMD/AVX media instructions used by EPYC.
AMD64 Zen6 Platform Quality of Service (PQOS) Extensions (PUB) (69193),https://docs.amd.com/v/u/en-US/69193_1.00_AMD64_PQOS_EXT_PUB,AMD,arch,1P/2P,Public AMD64 PQOS architectural extensions for Zen 6; Document ID 69193 Rev 1.00 PUB English (2026-03-31); isSecure false. Forward-looking vs 9004/9005.
AMDESE amd-bmc-ras,https://github.com/AMDESE/amd-bmc-ras,AMD,arch,1P/2P,"Opened GitHub: remaining AMDESE RAS tree for BMC-side EPYC RAS/CPER on SP5 CRBs (pairs with existing OpenBMC). Software RAS, not SP5 PDG."
AMDESE AMDSEV,https://github.com/AMDESE/AMDSEV,AMD,arch,1P/2P,SEV/SEV-ES/SEV-SNP enablement scripts and docs for EPYC.
AMDESE epyc-feature-doc IOMMU function modes,https://raw.githubusercontent.com/AMDESE/epyc-feature-doc/master/io/iommu/0001_iommu_function_modes.md,AMD,arch,1P/2P,ESE note on AMD IOMMU function modes on EPYC.
AMDESE linux (snp-host kernel tree),https://github.com/AMDESE/linux,AMD,arch,1P/2P,AMD ESE Linux kernel source used by AMDSEV SNP host builds. AMDESE/linux-host repo name does not exist; this is the public host-kernel tree.
AMDESE linux-iommu,https://github.com/AMDESE/linux-iommu,AMD,arch,1P/2P,Opened GitHub: remaining AMDESE IOMMU kernel fork (1 star). Generic Linux tree; unique docs live in existing 48882 IOMMU spec and epyc-feature-doc iommu note. Included only as the leftover AMDESE iommu repo name.
