net,oam,connector,pads
GND,0,Conn0,E1 J1 E2 J2 B3 D3 F3 H3 K3 B4 D4 F4 H4 K4 A5 C5 E5 G5 J5 L5 A6 C6 E6 G6 J6 L6 B7 D7 F7 H7 K7 B8 D8 F8 H8 K8 A9 C9 E9 G9 J9 L9 A10 C10 E10 G10 J10 L10 B11 D11 F11 H11 K11 B12 D12 F12 H12 K12 A13 C13 E13 G13 J13 L13 A14 C14 E14 G14 J14 L14 B15 D15 F15 H15 K15 B16 D16 F16 H16 K16 A17 C17 E17 G17 J17 L17 A18 C18 E18 G18 J18 L18 B19 D19 F19 H19 K19 B20 D20 F20 H20 K20 A21 C21 E21 G21 J21 L21 A22 C22 E22 G22 J22 L22 B23 D23 F23 H23 K23 B24 D24 F24 H24 K24 A25 C25 E25 G25 J25 L25 A26 C26 E26 G26 J26 L26 B27 D27 F27 H27 K27 B28 D28 F28 H28 K28 A29 C29 E29 G29 J29 L29 A30 C30 E30 G30 J30 L30 B31 D31 F31 H31 K31 B32 D32 F32 H32 K32 A33 C33 E33 G33 J33 L33 A34 C34 E34 G34 J34 L34 B35 D35 F35 H35 K35 B36 D36 F36 H36 K36 A37 C37 E37 G37 J37 L37 A38 C38 E38 G38 J38 L38 B39 D39 F39 H39 K39 B40 D40 F40 H40 K40 A41 C41 E41 G41 J41 L41 A42 C42 E42 G42 J42 L42 B43 D43 F43 H43 K43 B44 D44 F44 H44 K44 A45 C45 E45 G45 J45 L45 A46 C46 E46 G46 J46 L46 B47 D47 F47 H47 K47 B48 D48 F48 H48 K48 A49 C49 E49 G49 J49 L49 A50 C50 E50 G50 J50 L50 B51 D51 F51 H51 K51 B52 D52 F52 H52 K52 A53 C53 E53 F53 G53 J53 L53 A54 C54 E54 F54 G54 J54 L54 B55 D55 E55 F55 G55 H55 K55 B56 D56 E56 F56 G56 H56 K56 A57 B57 C57 D57 E57 F57 G57 H57 J57 K57 L57 A58 B58 C58 D58 E58 F58 G58 J58 L58 G59 J59 L59 G60 G61 G62 G63 G64
GND,0,Conn1,C1 E1 G1 J1 C2 E2 G2 J2 B3 D3 F3 H3 K3 B4 D4 F4 H4 K4 A5 C5 E5 G5 J5 L5 A6 C6 E6 G6 J6 L6 B7 D7 F7 H7 K7 B8 D8 F8 H8 K8 A9 C9 E9 G9 J9 L9 A10 C10 E10 G10 J10 L10 B11 D11 F11 H11 K11 B12 D12 F12 H12 K12 A13 C13 E13 G13 J13 L13 A14 C14 E14 G14 J14 L14 B15 D15 F15 H15 K15 B16 D16 F16 H16 K16 A17 C17 E17 G17 J17 L17 A18 C18 E18 G18 J18 L18 B19 D19 F19 H19 K19 B20 D20 F20 H20 K20 A21 C21 E21 G21 J21 L21 A22 C22 E22 G22 J22 L22 B23 D23 F23 H23 K23 B24 D24 F24 H24 K24 A25 C25 E25 G25 J25 L25 A26 C26 E26 G26 J26 L26 B27 D27 F27 H27 K27 B28 D28 F28 H28 K28 A29 C29 E29 G29 J29 L29 A30 C30 E30 G30 J30 L30 B31 D31 F31 H31 K31 B32 D32 F32 H32 K32 A33 C33 E33 G33 J33 L33 A34 C34 E34 G34 J34 L34 B35 D35 F35 H35 K35 B36 D36 F36 H36 K36 A37 C37 E37 G37 J37 L37 A38 C38 E38 G38 J38 L38 B39 D39 F39 H39 K39 B40 D40 F40 H40 K40 A41 C41 E41 G41 J41 L41 A42 C42 E42 G42 J42 L42 B43 D43 F43 H43 K43 B44 D44 F44 H44 K44 A45 C45 E45 G45 J45 L45 A46 C46 E46 G46 J46 L46 B47 D47 F47 H47 K47 B48 D48 F48 H48 K48 A49 C49 E49 G49 J49 L49 A50 C50 E50 G50 J50 L50 B51 D51 F51 H51 K51 B52 D52 F52 H52 K52 A53 C53 E53 G53 J53 L53 A54 C54 E54 G54 J54 L54 B55 D55 F55 H55 K55 B56 D56 F56 H56 K56 A57 C57 E57 G57 J57 L57 A58 C58 E58 G58 J58 L58 B59 D59 F59 H59 K59 B60 D60 F60 H60 K60 A61 C61 E61 G61 J61 L61 A62 C62 E62 G62 J62 L62 D63 F63 H63 D64 F64 H64
GND,1,Conn0,E1 J1 E2 J2 B3 D3 F3 H3 K3 B4 D4 F4 H4 K4 A5 C5 E5 G5 J5 L5 A6 C6 E6 G6 J6 L6 B7 D7 F7 H7 K7 B8 D8 F8 H8 K8 A9 C9 E9 G9 J9 L9 A10 C10 E10 G10 J10 L10 B11 D11 F11 H11 K11 B12 D12 F12 H12 K12 A13 C13 E13 G13 J13 L13 A14 C14 E14 G14 J14 L14 B15 D15 F15 H15 K15 B16 D16 F16 H16 K16 A17 C17 E17 G17 J17 L17 A18 C18 E18 G18 J18 L18 B19 D19 F19 H19 K19 B20 D20 F20 H20 K20 A21 C21 E21 G21 J21 L21 A22 C22 E22 G22 J22 L22 B23 D23 F23 H23 K23 B24 D24 F24 H24 K24 A25 C25 E25 G25 J25 L25 A26 C26 E26 G26 J26 L26 B27 D27 F27 H27 K27 B28 D28 F28 H28 K28 A29 C29 E29 G29 J29 L29 A30 C30 E30 G30 J30 L30 B31 D31 F31 H31 K31 B32 D32 F32 H32 K32 A33 C33 E33 G33 J33 L33 A34 C34 E34 G34 J34 L34 B35 D35 F35 H35 K35 B36 D36 F36 H36 K36 A37 C37 E37 G37 J37 L37 A38 C38 E38 G38 J38 L38 B39 D39 F39 H39 K39 B40 D40 F40 H40 K40 A41 C41 E41 G41 J41 L41 A42 C42 E42 G42 J42 L42 B43 D43 F43 H43 K43 B44 D44 F44 H44 K44 A45 C45 E45 G45 J45 L45 A46 C46 E46 G46 J46 L46 B47 D47 F47 H47 K47 B48 D48 F48 H48 K48 A49 C49 E49 G49 J49 L49 A50 C50 E50 G50 J50 L50 B51 D51 F51 H51 K51 B52 D52 F52 H52 K52 A53 C53 E53 F53 G53 J53 L53 A54 C54 E54 F54 G54 J54 L54 B55 D55 E55 F55 G55 H55 K55 B56 D56 E56 F56 G56 H56 K56 A57 B57 C57 D57 E57 F57 G57 H57 J57 K57 L57 A58 B58 C58 D58 E58 F58 G58 J58 L58 G59 J59 L59 G60 G61 G62 G63 G64
GND,1,Conn1,C1 E1 G1 J1 C2 E2 G2 J2 B3 D3 F3 H3 K3 B4 D4 F4 H4 K4 A5 C5 E5 G5 J5 L5 A6 C6 E6 G6 J6 L6 B7 D7 F7 H7 K7 B8 D8 F8 H8 K8 A9 C9 E9 G9 J9 L9 A10 C10 E10 G10 J10 L10 B11 D11 F11 H11 K11 B12 D12 F12 H12 K12 A13 C13 E13 G13 J13 L13 A14 C14 E14 G14 J14 L14 B15 D15 F15 H15 K15 B16 D16 F16 H16 K16 A17 C17 E17 G17 J17 L17 A18 C18 E18 G18 J18 L18 B19 D19 F19 H19 K19 B20 D20 F20 H20 K20 A21 C21 E21 G21 J21 L21 A22 C22 E22 G22 J22 L22 B23 D23 F23 H23 K23 B24 D24 F24 H24 K24 A25 C25 E25 G25 J25 L25 A26 C26 E26 G26 J26 L26 B27 D27 F27 H27 K27 B28 D28 F28 H28 K28 A29 C29 E29 G29 J29 L29 A30 C30 E30 G30 J30 L30 B31 D31 F31 H31 K31 B32 D32 F32 H32 K32 A33 C33 E33 G33 J33 L33 A34 C34 E34 G34 J34 L34 B35 D35 F35 H35 K35 B36 D36 F36 H36 K36 A37 C37 E37 G37 J37 L37 A38 C38 E38 G38 J38 L38 B39 D39 F39 H39 K39 B40 D40 F40 H40 K40 A41 C41 E41 G41 J41 L41 A42 C42 E42 G42 J42 L42 B43 D43 F43 H43 K43 B44 D44 F44 H44 K44 A45 C45 E45 G45 J45 L45 A46 C46 E46 G46 J46 L46 B47 D47 F47 H47 K47 B48 D48 F48 H48 K48 A49 C49 E49 G49 J49 L49 A50 C50 E50 G50 J50 L50 B51 D51 F51 H51 K51 B52 D52 F52 H52 K52 A53 C53 E53 G53 J53 L53 A54 C54 E54 G54 J54 L54 B55 D55 F55 H55 K55 B56 D56 F56 H56 K56 A57 C57 E57 G57 J57 L57 A58 C58 E58 G58 J58 L58 B59 D59 F59 H59 K59 B60 D60 F60 H60 K60 A61 C61 E61 G61 J61 L61 A62 C62 E62 G62 J62 L62 D63 F63 H63 D64 F64 H64
GND,2,Conn0,E1 J1 E2 J2 B3 D3 F3 H3 K3 B4 D4 F4 H4 K4 A5 C5 E5 G5 J5 L5 A6 C6 E6 G6 J6 L6 B7 D7 F7 H7 K7 B8 D8 F8 H8 K8 A9 C9 E9 G9 J9 L9 A10 C10 E10 G10 J10 L10 B11 D11 F11 H11 K11 B12 D12 F12 H12 K12 A13 C13 E13 G13 J13 L13 A14 C14 E14 G14 J14 L14 B15 D15 F15 H15 K15 B16 D16 F16 H16 K16 A17 C17 E17 G17 J17 L17 A18 C18 E18 G18 J18 L18 B19 D19 F19 H19 K19 B20 D20 F20 H20 K20 A21 C21 E21 G21 J21 L21 A22 C22 E22 G22 J22 L22 B23 D23 F23 H23 K23 B24 D24 F24 H24 K24 A25 C25 E25 G25 J25 L25 A26 C26 E26 G26 J26 L26 B27 D27 F27 H27 K27 B28 D28 F28 H28 K28 A29 C29 E29 G29 J29 L29 A30 C30 E30 G30 J30 L30 B31 D31 F31 H31 K31 B32 D32 F32 H32 K32 A33 C33 E33 G33 J33 L33 A34 C34 E34 G34 J34 L34 B35 D35 F35 H35 K35 B36 D36 F36 H36 K36 A37 C37 E37 G37 J37 L37 A38 C38 E38 G38 J38 L38 B39 D39 F39 H39 K39 B40 D40 F40 H40 K40 A41 C41 E41 G41 J41 L41 A42 C42 E42 G42 J42 L42 B43 D43 F43 H43 K43 B44 D44 F44 H44 K44 A45 C45 E45 G45 J45 L45 A46 C46 E46 G46 J46 L46 B47 D47 F47 H47 K47 B48 D48 F48 H48 K48 A49 C49 E49 G49 J49 L49 A50 C50 E50 G50 J50 L50 B51 D51 F51 H51 K51 B52 D52 F52 H52 K52 A53 C53 E53 F53 G53 J53 L53 A54 C54 E54 F54 G54 J54 L54 B55 D55 E55 F55 G55 H55 K55 B56 D56 E56 F56 G56 H56 K56 A57 B57 C57 D57 E57 F57 G57 H57 J57 K57 L57 A58 B58 C58 D58 E58 F58 G58 J58 L58 G59 J59 L59 G60 G61 G62 G63 G64
GND,2,Conn1,C1 E1 G1 J1 C2 E2 G2 J2 B3 D3 F3 H3 K3 B4 D4 F4 H4 K4 A5 C5 E5 G5 J5 L5 A6 C6 E6 G6 J6 L6 B7 D7 F7 H7 K7 B8 D8 F8 H8 K8 A9 C9 E9 G9 J9 L9 A10 C10 E10 G10 J10 L10 B11 D11 F11 H11 K11 B12 D12 F12 H12 K12 A13 C13 E13 G13 J13 L13 A14 C14 E14 G14 J14 L14 B15 D15 F15 H15 K15 B16 D16 F16 H16 K16 A17 C17 E17 G17 J17 L17 A18 C18 E18 G18 J18 L18 B19 D19 F19 H19 K19 B20 D20 F20 H20 K20 A21 C21 E21 G21 J21 L21 A22 C22 E22 G22 J22 L22 B23 D23 F23 H23 K23 B24 D24 F24 H24 K24 A25 C25 E25 G25 J25 L25 A26 C26 E26 G26 J26 L26 B27 D27 F27 H27 K27 B28 D28 F28 H28 K28 A29 C29 E29 G29 J29 L29 A30 C30 E30 G30 J30 L30 B31 D31 F31 H31 K31 B32 D32 F32 H32 K32 A33 C33 E33 G33 J33 L33 A34 C34 E34 G34 J34 L34 B35 D35 F35 H35 K35 B36 D36 F36 H36 K36 A37 C37 E37 G37 J37 L37 A38 C38 E38 G38 J38 L38 B39 D39 F39 H39 K39 B40 D40 F40 H40 K40 A41 C41 E41 G41 J41 L41 A42 C42 E42 G42 J42 L42 B43 D43 F43 H43 K43 B44 D44 F44 H44 K44 A45 C45 E45 G45 J45 L45 A46 C46 E46 G46 J46 L46 B47 D47 F47 H47 K47 B48 D48 F48 H48 K48 A49 C49 E49 G49 J49 L49 A50 C50 E50 G50 J50 L50 B51 D51 F51 H51 K51 B52 D52 F52 H52 K52 A53 C53 E53 G53 J53 L53 A54 C54 E54 G54 J54 L54 B55 D55 F55 H55 K55 B56 D56 F56 H56 K56 A57 C57 E57 G57 J57 L57 A58 C58 E58 G58 J58 L58 B59 D59 F59 H59 K59 B60 D60 F60 H60 K60 A61 C61 E61 G61 J61 L61 A62 C62 E62 G62 J62 L62 D63 F63 H63 D64 F64 H64
GND,3,Conn0,E1 J1 E2 J2 B3 D3 F3 H3 K3 B4 D4 F4 H4 K4 A5 C5 E5 G5 J5 L5 A6 C6 E6 G6 J6 L6 B7 D7 F7 H7 K7 B8 D8 F8 H8 K8 A9 C9 E9 G9 J9 L9 A10 C10 E10 G10 J10 L10 B11 D11 F11 H11 K11 B12 D12 F12 H12 K12 A13 C13 E13 G13 J13 L13 A14 C14 E14 G14 J14 L14 B15 D15 F15 H15 K15 B16 D16 F16 H16 K16 A17 C17 E17 G17 J17 L17 A18 C18 E18 G18 J18 L18 B19 D19 F19 H19 K19 B20 D20 F20 H20 K20 A21 C21 E21 G21 J21 L21 A22 C22 E22 G22 J22 L22 B23 D23 F23 H23 K23 B24 D24 F24 H24 K24 A25 C25 E25 G25 J25 L25 A26 C26 E26 G26 J26 L26 B27 D27 F27 H27 K27 B28 D28 F28 H28 K28 A29 C29 E29 G29 J29 L29 A30 C30 E30 G30 J30 L30 B31 D31 F31 H31 K31 B32 D32 F32 H32 K32 A33 C33 E33 G33 J33 L33 A34 C34 E34 G34 J34 L34 B35 D35 F35 H35 K35 B36 D36 F36 H36 K36 A37 C37 E37 G37 J37 L37 A38 C38 E38 G38 J38 L38 B39 D39 F39 H39 K39 B40 D40 F40 H40 K40 A41 C41 E41 G41 J41 L41 A42 C42 E42 G42 J42 L42 B43 D43 F43 H43 K43 B44 D44 F44 H44 K44 A45 C45 E45 G45 J45 L45 A46 C46 E46 G46 J46 L46 B47 D47 F47 H47 K47 B48 D48 F48 H48 K48 A49 C49 E49 G49 J49 L49 A50 C50 E50 G50 J50 L50 B51 D51 F51 H51 K51 B52 D52 F52 H52 K52 A53 C53 E53 F53 G53 J53 L53 A54 C54 E54 F54 G54 J54 L54 B55 D55 E55 F55 G55 H55 K55 B56 D56 E56 F56 G56 H56 K56 A57 B57 C57 D57 E57 F57 G57 H57 J57 K57 L57 A58 B58 C58 D58 E58 F58 G58 J58 L58 G59 J59 L59 G60 G61 G62 G63 G64
GND,3,Conn1,C1 E1 G1 J1 C2 E2 G2 J2 B3 D3 F3 H3 K3 B4 D4 F4 H4 K4 A5 C5 E5 G5 J5 L5 A6 C6 E6 G6 J6 L6 B7 D7 F7 H7 K7 B8 D8 F8 H8 K8 A9 C9 E9 G9 J9 L9 A10 C10 E10 G10 J10 L10 B11 D11 F11 H11 K11 B12 D12 F12 H12 K12 A13 C13 E13 G13 J13 L13 A14 C14 E14 G14 J14 L14 B15 D15 F15 H15 K15 B16 D16 F16 H16 K16 A17 C17 E17 G17 J17 L17 A18 C18 E18 G18 J18 L18 B19 D19 F19 H19 K19 B20 D20 F20 H20 K20 A21 C21 E21 G21 J21 L21 A22 C22 E22 G22 J22 L22 B23 D23 F23 H23 K23 B24 D24 F24 H24 K24 A25 C25 E25 G25 J25 L25 A26 C26 E26 G26 J26 L26 B27 D27 F27 H27 K27 B28 D28 F28 H28 K28 A29 C29 E29 G29 J29 L29 A30 C30 E30 G30 J30 L30 B31 D31 F31 H31 K31 B32 D32 F32 H32 K32 A33 C33 E33 G33 J33 L33 A34 C34 E34 G34 J34 L34 B35 D35 F35 H35 K35 B36 D36 F36 H36 K36 A37 C37 E37 G37 J37 L37 A38 C38 E38 G38 J38 L38 B39 D39 F39 H39 K39 B40 D40 F40 H40 K40 A41 C41 E41 G41 J41 L41 A42 C42 E42 G42 J42 L42 B43 D43 F43 H43 K43 B44 D44 F44 H44 K44 A45 C45 E45 G45 J45 L45 A46 C46 E46 G46 J46 L46 B47 D47 F47 H47 K47 B48 D48 F48 H48 K48 A49 C49 E49 G49 J49 L49 A50 C50 E50 G50 J50 L50 B51 D51 F51 H51 K51 B52 D52 F52 H52 K52 A53 C53 E53 G53 J53 L53 A54 C54 E54 G54 J54 L54 B55 D55 F55 H55 K55 B56 D56 F56 H56 K56 A57 C57 E57 G57 J57 L57 A58 C58 E58 G58 J58 L58 B59 D59 F59 H59 K59 B60 D60 F60 H60 K60 A61 C61 E61 G61 J61 L61 A62 C62 E62 G62 J62 L62 D63 F63 H63 D64 F64 H64
GND,4,Conn0,E1 J1 E2 J2 B3 D3 F3 H3 K3 B4 D4 F4 H4 K4 A5 C5 E5 G5 J5 L5 A6 C6 E6 G6 J6 L6 B7 D7 F7 H7 K7 B8 D8 F8 H8 K8 A9 C9 E9 G9 J9 L9 A10 C10 E10 G10 J10 L10 B11 D11 F11 H11 K11 B12 D12 F12 H12 K12 A13 C13 E13 G13 J13 L13 A14 C14 E14 G14 J14 L14 B15 D15 F15 H15 K15 B16 D16 F16 H16 K16 A17 C17 E17 G17 J17 L17 A18 C18 E18 G18 J18 L18 B19 D19 F19 H19 K19 B20 D20 F20 H20 K20 A21 C21 E21 G21 J21 L21 A22 C22 E22 G22 J22 L22 B23 D23 F23 H23 K23 B24 D24 F24 H24 K24 A25 C25 E25 G25 J25 L25 A26 C26 E26 G26 J26 L26 B27 D27 F27 H27 K27 B28 D28 F28 H28 K28 A29 C29 E29 G29 J29 L29 A30 C30 E30 G30 J30 L30 B31 D31 F31 H31 K31 B32 D32 F32 H32 K32 A33 C33 E33 G33 J33 L33 A34 C34 E34 G34 J34 L34 B35 D35 F35 H35 K35 B36 D36 F36 H36 K36 A37 C37 E37 G37 J37 L37 A38 C38 E38 G38 J38 L38 B39 D39 F39 H39 K39 B40 D40 F40 H40 K40 A41 C41 E41 G41 J41 L41 A42 C42 E42 G42 J42 L42 B43 D43 F43 H43 K43 B44 D44 F44 H44 K44 A45 C45 E45 G45 J45 L45 A46 C46 E46 G46 J46 L46 B47 D47 F47 H47 K47 B48 D48 F48 H48 K48 A49 C49 E49 G49 J49 L49 A50 C50 E50 G50 J50 L50 B51 D51 F51 H51 K51 B52 D52 F52 H52 K52 A53 C53 E53 F53 G53 J53 L53 A54 C54 E54 F54 G54 J54 L54 B55 D55 E55 F55 G55 H55 K55 B56 D56 E56 F56 G56 H56 K56 A57 B57 C57 D57 E57 F57 G57 H57 J57 K57 L57 A58 B58 C58 D58 E58 F58 G58 J58 L58 G59 J59 L59 G60 G61 G62 G63 G64
GND,4,Conn1,C1 E1 G1 J1 C2 E2 G2 J2 B3 D3 F3 H3 K3 B4 D4 F4 H4 K4 A5 C5 E5 G5 J5 L5 A6 C6 E6 G6 J6 L6 B7 D7 F7 H7 K7 B8 D8 F8 H8 K8 A9 C9 E9 G9 J9 L9 A10 C10 E10 G10 J10 L10 B11 D11 F11 H11 K11 B12 D12 F12 H12 K12 A13 C13 E13 G13 J13 L13 A14 C14 E14 G14 J14 L14 B15 D15 F15 H15 K15 B16 D16 F16 H16 K16 A17 C17 E17 G17 J17 L17 A18 C18 E18 G18 J18 L18 B19 D19 F19 H19 K19 B20 D20 F20 H20 K20 A21 C21 E21 G21 J21 L21 A22 C22 E22 G22 J22 L22 B23 D23 F23 H23 K23 B24 D24 F24 H24 K24 A25 C25 E25 G25 J25 L25 A26 C26 E26 G26 J26 L26 B27 D27 F27 H27 K27 B28 D28 F28 H28 K28 A29 C29 E29 G29 J29 L29 A30 C30 E30 G30 J30 L30 B31 D31 F31 H31 K31 B32 D32 F32 H32 K32 A33 C33 E33 G33 J33 L33 A34 C34 E34 G34 J34 L34 B35 D35 F35 H35 K35 B36 D36 F36 H36 K36 A37 C37 E37 G37 J37 L37 A38 C38 E38 G38 J38 L38 B39 D39 F39 H39 K39 B40 D40 F40 H40 K40 A41 C41 E41 G41 J41 L41 A42 C42 E42 G42 J42 L42 B43 D43 F43 H43 K43 B44 D44 F44 H44 K44 A45 C45 E45 G45 J45 L45 A46 C46 E46 G46 J46 L46 B47 D47 F47 H47 K47 B48 D48 F48 H48 K48 A49 C49 E49 G49 J49 L49 A50 C50 E50 G50 J50 L50 B51 D51 F51 H51 K51 B52 D52 F52 H52 K52 A53 C53 E53 G53 J53 L53 A54 C54 E54 G54 J54 L54 B55 D55 F55 H55 K55 B56 D56 F56 H56 K56 A57 C57 E57 G57 J57 L57 A58 C58 E58 G58 J58 L58 B59 D59 F59 H59 K59 B60 D60 F60 H60 K60 A61 C61 E61 G61 J61 L61 A62 C62 E62 G62 J62 L62 D63 F63 H63 D64 F64 H64
