connector,pad,v10_signal,class,oam0_net,oam1_net,oam2_net,oam3_net,oam4_net,oam5_net,oam6_net,oam7_net,wired_on_all_8,notes
Conn0,C1,P3V3,power_shared,P3V3,P3V3,P3V3,P3V3,P3V3,P3V3,P3V3,P3V3,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,D1,PERST#,clock_reset,OAM0_PERST#,OAM1_PERST#,OAM2_PERST#,OAM3_PERST#,OAM4_PERST#,OAM5_PERST#,OAM6_PERST#,OAM7_PERST#,yes,
Conn0,E1,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,F1,RFU,unmapped_nc,,,,,,,,,no,Named in v1.0 but AMD overlay unknown or reserved; no copper
Conn0,G1,PVREF,module_output_do_not_drive,OAM0_PVREF,OAM1_PVREF,OAM2_PVREF,OAM3_PVREF,OAM4_PVREF,OAM5_PVREF,OAM6_PVREF,OAM7_PVREF,yes,Module output. Never drive from carrier. Per-OAM nets. Do not short seats together.
Conn0,H1,HOST_PWRGD,clock_reset,OAM0_HOST_PWRGD,OAM1_HOST_PWRGD,OAM2_HOST_PWRGD,OAM3_HOST_PWRGD,OAM4_HOST_PWRGD,OAM5_HOST_PWRGD,OAM6_HOST_PWRGD,OAM7_HOST_PWRGD,yes,
Conn0,J1,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,C2,P3V3,power_shared,P3V3,P3V3,P3V3,P3V3,P3V3,P3V3,P3V3,P3V3,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,D2,WARMRST#,clock_reset,OAM0_WARMRST#,OAM1_WARMRST#,OAM2_WARMRST#,OAM3_WARMRST#,OAM4_WARMRST#,OAM5_WARMRST#,OAM6_WARMRST#,OAM7_WARMRST#,yes,
Conn0,E2,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,F2,RFU,unmapped_nc,,,,,,,,,no,Named in v1.0 but AMD overlay unknown or reserved; no copper
Conn0,G2,PVREF,module_output_do_not_drive,OAM0_PVREF,OAM1_PVREF,OAM2_PVREF,OAM3_PVREF,OAM4_PVREF,OAM5_PVREF,OAM6_PVREF,OAM7_PVREF,yes,Module output. Never drive from carrier. Per-OAM nets. Do not short seats together.
Conn0,H2,MODULE_PWRGD,clock_reset,OAM0_MODULE_PWRGD,OAM1_MODULE_PWRGD,OAM2_MODULE_PWRGD,OAM3_MODULE_PWRGD,OAM4_MODULE_PWRGD,OAM5_MODULE_PWRGD,OAM6_MODULE_PWRGD,OAM7_MODULE_PWRGD,yes,
Conn0,J2,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,A3,MANF_MODE#,ocp_sideband,OAM0_MANF_MODE#,OAM1_MANF_MODE#,OAM2_MANF_MODE#,OAM3_MANF_MODE#,OAM4_MANF_MODE#,OAM5_MANF_MODE#,OAM6_MANF_MODE#,OAM7_MANF_MODE#,yes,
Conn0,B3,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,C3,PWRBRK#,clock_reset,OAM0_PWRBRK#,OAM1_PWRBRK#,OAM2_PWRBRK#,OAM3_PWRBRK#,OAM4_PWRBRK#,OAM5_PWRBRK#,OAM6_PWRBRK#,OAM7_PWRBRK#,yes,
Conn0,D3,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,E3,UART_TXD,mgmt_stub,OAM0_UART_TXD,OAM1_UART_TXD,OAM2_UART_TXD,OAM3_UART_TXD,OAM4_UART_TXD,OAM5_UART_TXD,OAM6_UART_TXD,OAM7_UART_TXD,yes,
Conn0,F3,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,G3,I2C_D,mgmt_stub,OAM0_I2C_D,OAM1_I2C_D,OAM2_I2C_D,OAM3_I2C_D,OAM4_I2C_D,OAM5_I2C_D,OAM6_I2C_D,OAM7_I2C_D,yes,
